cdngid;cdngname;kustid;kustname
1;ЦДНГ-5;10998355;к.4756
1;ЦДНГ-5;10998338;к.5252
1;ЦДНГ-5;10998335;к.1164
1;ЦДНГ-5;10998324;к.5951
1;ЦДНГ-5;10998316;к.8650
1;ЦДНГ-5;10998315;к.7943
1;ЦДНГ-5;10998314;к.6887
1;ЦДНГ-5;10996351;к.4222
1;ЦДНГ-5;10993982;к.188
1;ЦДНГ-5;10991999;к.3069
1;ЦДНГ-5;10939933;к.326
1;ЦДНГ-5;10939930;к.8617
1;ЦДНГ-5;10939929;к.1324
1;ЦДНГ-5;10939925;к.5721
1;ЦДНГ-5;10939923;к.7076
1;ЦДНГ-5;10939919;к.206
1;ЦДНГ-5;10939912;к.3942
1;ЦДНГ-5;10929959;к.3537
1;ЦДНГ-5;10929943;к.8801
1;ЦДНГ-5;10929938;к.1767
1;ЦДНГ-5;10929934;к.157
1;ЦДНГ-5;10929929;к.3227
1;ЦДНГ-5;10929927;к.3837
1;ЦДНГ-5;10929925;к.4652
1;ЦДНГ-5;10929914;к.7683
1;ЦДНГ-5;10929911;к.3812
1;ЦДНГ-5;10929909;к.1781
1;ЦДНГ-5;10929903;к.8804
1;ЦДНГ-5;10929901;к.2386
1;ЦДНГ-5;10929887;к.2281
1;ЦДНГ-5;10929884;к.1655
1;ЦДНГ-5;10929882;к.1456
1;ЦДНГ-5;10929881;к.1847
1;ЦДНГ-5;10929877;к.7684
1;ЦДНГ-5;10929871;к.8909
1;ЦДНГ-5;10929866;к.7005
1;ЦДНГ-5;10929865;к.8642
1;ЦДНГ-5;10929860;к.3227
1;ЦДНГ-5;10929853;к.3650
1;ЦДНГ-5;10929851;к.3808
1;ЦДНГ-5;10929846;к.315
1;ЦДНГ-5;10929843;к.2166
1;ЦДНГ-5;10929839;к.5237
1;ЦДНГ-5;10929837;к.1913
1;ЦДНГ-5;10929834;к.8538
1;ЦДНГ-5;10929832;к.1486
1;ЦДНГ-5;10929819;к.2281
1;ЦДНГ-5;10929818;к.9538
1;ЦДНГ-5;10929816;к.8676
1;ЦДНГ-5;10929812;к.8305
1;ЦДНГ-5;10929806;к.5818
1;ЦДНГ-5;10929788;к.6007
1;ЦДНГ-5;10929783;к.7304
1;ЦДНГ-5;10929751;к.5121
1;ЦДНГ-5;10929733;к.8654
1;ЦДНГ-5;10929730;к.2252
1;ЦДНГ-5;10929709;к.1066
1;ЦДНГ-5;10929705;к.4733
1;ЦДНГ-5;10929701;к.4949
1;ЦДНГ-5;10929682;к.3948
1;ЦДНГ-5;10929662;к.8732
1;ЦДНГ-5;10929646;к.9891
1;ЦДНГ-5;10929639;к.2500
1;ЦДНГ-5;10929622;к.7437
1;ЦДНГ-5;10929619;к.2273
1;ЦДНГ-5;10929611;к.5611
1;ЦДНГ-5;10929610;к.9963
1;ЦДНГ-5;10929594;к.9792
1;ЦДНГ-5;10929577;к.6591
1;ЦДНГ-5;10929570;к.4029
1;ЦДНГ-5;10929566;к.6057
1;ЦДНГ-5;10929549;к.2260
1;ЦДНГ-5;10929425;к.3655
1;ЦДНГ-5;10929009;к.4139
1;ЦДНГ-5;10929007;к.8722
2;ЦДНГ-3;10929924;к.354
2;ЦДНГ-3;10929859;к.354
2;ЦДНГ-3;10929855;к.354
2;ЦДНГ-3;10929838;к.354
2;ЦДНГ-3;10929746;к.1850
2;ЦДНГ-3;10929745;к.323
2;ЦДНГ-3;10929743;к.8370
2;ЦДНГ-3;10929738;к.3159
2;ЦДНГ-3;10929727;к.5700
2;ЦДНГ-3;10929718;к.4512
2;ЦДНГ-3;10929716;к.7093
2;ЦДНГ-3;10929711;к.432
2;ЦДНГ-3;10929708;к.5503
2;ЦДНГ-3;10929706;к.9203
2;ЦДНГ-3;10929700;к.8307
2;ЦДНГ-3;10929699;к.1075
2;ЦДНГ-3;10929692;к.5539
2;ЦДНГ-3;10929690;к.8107
2;ЦДНГ-3;10929685;к.7929
2;ЦДНГ-3;10929683;к.9088
2;ЦДНГ-3;10929681;к.2300
2;ЦДНГ-3;10929679;к.435
2;ЦДНГ-3;10929676;к.3815
2;ЦДНГ-3;10929671;к.6379
2;ЦДНГ-3;10929669;к.2969
2;ЦДНГ-3;10929665;к.2229
2;ЦДНГ-3;10929660;к.6491
2;ЦДНГ-3;10929654;к.6838
2;ЦДНГ-3;10929644;к.9894
2;ЦДНГ-3;10929634;к.3835
2;ЦДНГ-3;10929627;к.4451
2;ЦДНГ-3;10929604;к.4851
2;ЦДНГ-3;10929584;к.2136
4;ЦДНГ-12;10999972;к.5700
4;ЦДНГ-12;10999967;к.9088
4;ЦДНГ-12;10999941;к.7564
4;ЦДНГ-12;10999908;к.137
4;ЦДНГ-12;10999907;к.706
4;ЦДНГ-12;10999906;к.5826
4;ЦДНГ-12;10999904;к.8957
4;ЦДНГ-12;10999903;к.7261
4;ЦДНГ-12;10999902;к.3327
4;ЦДНГ-12;10999901;к.2868
4;ЦДНГ-12;10999900;к.2668
4;ЦДНГ-12;10999899;к.6465
4;ЦДНГ-12;10999898;к.6997
4;ЦДНГ-12;10999897;к.5657
4;ЦДНГ-12;10999895;к.2407
4;ЦДНГ-12;10999894;к.432
4;ЦДНГ-12;10999893;к.1075
4;ЦДНГ-12;10999892;к.9203
