kustid;kustname;skvid;skvname
10998355;к.4756;1012678;56448Б
10998355;к.4756;1012439;50016К
10998355;к.4756;1012438;92480
10998355;к.4756;1012352;91294
10998355;к.4756;1012322;60435Б
10998355;к.4756;1012437;57132Б
10998355;к.4756;1012436;6892
10998338;к.5252;1012585;82449Б
10998338;к.5252;1012567;9052
10998338;к.5252;1012566;99798
10998338;к.5252;1012368;83577К
10998335;к.1164;1012601;59956
10998335;к.1164;1012600;34995К
10998335;к.1164;1012599;5029
10998335;к.1164;1012598;67029
10998335;к.1164;1012584;90276
10998335;к.1164;1012581;12320
10998335;к.1164;1012565;6303К
10998335;к.1164;1012564;67525
10998335;к.1164;1012562;31757
10998335;к.1164;1012365;72633К
10998335;к.1164;1012582;11344
10998335;к.1164;1012580;64892Р
10998335;к.1164;1012563;79197
10998335;к.1164;1012546;24273Б
10998324;к.5951;1012470;81586В
10998324;к.5951;1012402;61078
10998324;к.5951;1012326;97372В
10998324;к.5951;1012404;42957Б
10998324;к.5951;1012403;25821Б
10998324;к.5951;1012311;93304В
10998324;к.5951;1012305;13328
10998316;к.8650;1012259;31725Б
10998316;к.8650;1012261;5014В
10998316;к.8650;1012258;85131Б
10998316;к.8650;1012256;63811В
10998316;к.8650;1012255;65436
10998316;к.8650;1012254;21617
10998316;к.8650;1012253;77939
10998316;к.8650;1012252;36266
10998316;к.8650;1012251;96272
10998316;к.8650;1012250;69137
10998316;к.8650;1012249;50912
10998316;к.8650;1012248;85650
10998316;к.8650;1012247;52749Б
10998316;к.8650;1012246;60679В
10998316;к.8650;1012245;61304
10998316;к.8650;1012244;77282
10998316;к.8650;1012243;30353
10998316;к.8650;1012242;90364
10998316;к.8650;1012239;61660В
10998316;к.8650;1012237;40332К
10998316;к.8650;1012236;96970
10998316;к.8650;1011159;94600В
10998315;к.7943;1012266;29873Р
10998315;к.7943;1012275;3914
10998315;к.7943;1012274;47355
10998315;к.7943;1012273;76566К
10998315;к.7943;1012272;30667
10998315;к.7943;1012269;28623К
10998315;к.7943;1012268;95230В
10998315;к.7943;1012265;94105В
10998315;к.7943;1012264;96449
10998315;к.7943;1012241;3468К
10998314;к.6887;1012271;75357Б
10998314;к.6887;1012270;35269
10998314;к.6887;1012267;87129Б
10998314;к.6887;1012263;67800К
10998314;к.6887;1012262;64273
10998314;к.6887;1012260;12179Р
10998314;к.6887;1012257;70295
10998314;к.6887;1012240;26492
10998314;к.6887;1012238;14471
10996351;к.4222;1011144;77239В
10993982;к.188;992355;57419
10991999;к.3069;955248;75502В
10939933;к.326;1011157;22016Р
10939930;к.8617;1011156;26356
10939929;к.1324;955133;64285
10939929;к.1324;955115;44532Б
10939929;к.1324;955114;30126К
10939929;к.1324;955113;47723
10939929;к.1324;955110;8438
10939929;к.1324;955103;58215К
10939929;к.1324;955102;60086Р
10939929;к.1324;955134;75526
10939929;к.1324;955112;35293
10939929;к.1324;955111;28515К
10939929;к.1324;955135;11589
10939925;к.5721;1011143;23973
10939923;к.7076;1009793;9335Р
10939919;к.206;955090;68449
10939919;к.206;955089;87614
10939919;к.206;955087;46068
10939919;к.206;955084;71968
10939919;к.206;955086;20556Б
10939919;к.206;955085;99318К
10939912;к.3942;955207;40896Б
10929959;к.3537;1002276;22680Б
10929959;к.3537;1001874;14266В
10929959;к.3537;1001676;31463
10929959;к.3537;1001236;99383
10929959;к.3537;1002598;3796
10929959;к.3537;1002558;70322
10929959;к.3537;1002436;32385К
10929959;к.3537;1002316;94596
10929959;к.3537;1002156;47422В
10929959;к.3537;1002076;20429
10929959;к.3537;1001956;58725Б
10929959;к.3537;1001436;48657К
10929959;к.3537;1001434;79069
10929943;к.8801;997435;23103Б
10929943;к.8801;997433;7561В
10929943;к.8801;997115;70299Б
10929943;к.8801;996995;47012
10929943;к.8801;996755;498К
10929943;к.8801;996675;62715К
10929943;к.8801;996433;77988К
10929943;к.8801;995995;57443
10929943;к.8801;995955;48981К
10929943;к.8801;995915;63556
10929943;к.8801;995555;80537
10929943;к.8801;995475;98306
10929943;к.8801;995195;67330В
10929943;к.8801;995193;14800
10929943;к.8801;996355;75461
10929938;к.1767;996315;9793В
10929938;к.1767;996673;27824
10929938;к.1767;996635;83182
10929938;к.1767;996435;68135
10929938;к.1767;996313;61400Р
10929938;к.1767;996275;74550К
10929938;к.1767;995715;53867Р
10929938;к.1767;996155;94608Б
10929934;к.157;995835;72535
10929934;к.157;995795;62846
10929934;к.157;995075;83459Р
10929934;к.157;995035;81173Р
10929934;к.157;994955;13896Б
10929934;к.157;994915;81995
10929934;к.157;994715;60148В
10929934;к.157;994635;78439
10929934;к.157;994435;60487
10929934;к.157;994433;1668К
10929934;к.157;994793;50559
10929929;к.3227;994595;97369
10929929;к.3227;994475;69083
10929929;к.3227;994275;70062
10929929;к.3227;994195;12221
10929929;к.3227;994073;24847
10929929;к.3227;994071;14989
10929929;к.3227;993835;35206
10929929;к.3227;993755;66392
10929929;к.3227;993515;17301К
10929929;к.3227;993315;51794
10929929;к.3227;993035;84032
10929929;к.3227;994155;11108Р
10929927;к.3837;993195;46571
10929927;к.3837;991955;40744В
10929927;к.3837;991035;24227
10929927;к.3837;990955;27897
10929927;к.3837;992155;31696
10929927;к.3837;994153;35111Р
