mestid;mestname;objid;objname
733;Дальне-Обильное;177918583;ВТ79/9
733;Дальне-Обильное;1916485834;ЯТ7/7
733;Дальне-Обильное;2036498630;ЯТ5/7
733;Дальне-Обильное;840020939;Епт-альб-сеноманский ГЛ
-9521;Площадь Дальне-Нелымская;1976445698;ЯТ5
-9605;Площадь Продольно-Нюрымская-2;1976445698;ЯТ5
810;Продольно-Дневное;11626301;ЕТX
810;Продольно-Дневное;1067878520;ЕТ79
-9631;Площадь Иртышская 1;1976445698;ЯТ5
810;Продольно-Дневное;840020939;Епт-альб-сеноманский ГЛ
706;Вековое;1067878520;ЕТ79
706;Вековое;840020939;Епт-альб-сеноманский ГЛ
706;Вековое;11626301;ЕТX
790;Ближне-Обильное;231269484;ВТ5+Y
790;Ближне-Обильное;2112960395;ВТ7
790;Ближне-Обильное;2017364653;ВТ79+77
790;Ближне-Обильное;1976445698;ЯТ5
790;Ближне-Обильное;2118714907;ВТ4
790;Ближне-Обильное;1169999627;ЕТU
790;Ближне-Обильное;11626301;ЕТX
-9996;Площадь Эпасская;1976445698;ЯТ5
-9982;Площадь Ютымская;1976445698;ЯТ5
-10002;Площадь Продольно-Лыхская;1976445698;ЯТ5
-9513;Площадь Дальне-Туйская;1976445698;ЯТ5
-9357;Площадь Федотовская;1976445698;ЯТ5
-9518;Площадь Ближне-Карандашевская;2063623641;Я5
-9510;Площадь Еласская;537266922;Я7
-10006;Площадь Ближне-Туканская-2;974457479;Я5-Y
-9517;Площадь Поперечно-Кеумская-3;1976445698;ЯТ5
-9524;Площадь Укратусская;1976445698;ЯТ5
-9535;Площадь Волковская;1976445698;ЯТ5
-9539;Площадь Среднедемьянская;1976445698;ЯТ5
-9542;Площадь Поперечно-Кеумская;1976445698;ЯТ5
-9542;Площадь Поперечно-Кеумская;1922804898;Я4
-9536;Площадь Ближне-Кельватская;1976445698;ЯТ5
-9547;Площадь Поперечно-Карандашевская;1976445698;ЯТ5
-9520;Площадь Поперечно-Малоичская;1191005717;PX
-9608;Площадь Ближне-Укратусская;1976445698;ЯТ5
-9562;Площадь Продольно-Демьянская;1582911845;ЛГ
-9606;Площадь Малоичская;1976445698;ЯТ5
-9609;Площадь Поперечно-Кеумская-2;1976445698;ЯТ5
-9822;Площадь Верхнесалымская-4;2130260247;ЯТ9
-9633;Площадь Верхнесалымская 5;1976445698;ЯТ5
815;Чудное;1976445698;ЯТ5
-9646;Площадь Надеждинская;1976445698;ЯТ5
790;Ближне-Обильное;840020939;Епт-альб-сеноманский ГЛ
778;Тенистое;962321853;ЯТ4/7
778;Тенистое;1069256486;ЯY
763;Дождевое;700271941;ЯY-4
-10026;Площадь Продольно-Мултановская;2109188539;ЯТY
-10027;Площадь Продольно-Полуньяхская;566834003;Ек7-ВГ6-U
801;Ближне-Причудливое;1326106060;ВТ8
-9705;Площадь Соровская;658633091;ВТ8/7
-9705;Площадь Соровская;1753970598;ЯТL/5
-10034;Площадь Дальне-Соровская 1;658633091;ВТ8/7
-10083;Площадь Ближне-Заболотная;1976445698;ЯТ5
380;Дальне-Сосновое;1916485834;ЯТ7/7
380;Дальне-Сосновое;1976445698;ЯТ5
380;Дальне-Сосновое;840020939;Епт-альб-сеноманский ГЛ
380;Дальне-Сосновое;69158720;ВТ75/7-Y
790;Ближне-Обильное;1009129873;ЯТ7
775;Новое;1077184587;ЕТU-8
775;Новое;1024567193;ВТ79
775;Новое;1976445698;ЯТ5
775;Новое;1009129873;ЯТ7
775;Новое;779189791;ЕТX-79
775;Новое;1602112042;ВТ78-55
775;Новое;840020939;Епт-альб-сеноманский ГЛ
775;Новое;218613113;ЯТ4
781;Заячье;2112960395;ВТ7
781;Заячье;840020939;Епт-альб-сеноманский ГЛ
781;Заячье;2036498630;ЯТ5/7
781;Заячье;1916485834;ЯТ7/7
733;Дальне-Обильное;843918845;ВТ55
775;Новое;1522429922;ВТ5
299;Ухоженное;1976445698;ЯТ5
298;Поперечно-Ухоженное;840020939;Епт-альб-сеноманский ГЛ
298;Поперечно-Ухоженное;1976445698;ЯТ5
299;Ухоженное;1525498409;ЯТ9/Л+ЯТ7
299;Ухоженное;169084762;ВТ74-59
299;Ухоженное;840020939;Епт-альб-сеноманский ГЛ
298;Поперечно-Ухоженное;1342471893;ЯТ9/(Л7+Л5)
299;Ухоженное;1925569121;ЯТ9/Л7
777;Ближне-Частое;218613113;ЯТ4
779;Частое;732397477;ЯТ5-4
777;Ближне-Частое;840020939;Епт-альб-сеноманский ГЛ
777;Ближне-Частое;1326106060;ВТ8
779;Частое;1326106060;ВТ8
779;Частое;840020939;Епт-альб-сеноманский ГЛ
812;Прореженное;177918583;ВТ79/9
812;Прореженное;2083687272;ВТ8/9+ВТ8
812;Прореженное;840020939;Епт-альб-сеноманский ГЛ
770;Величественное;1404760202;ЕТ4-8
770;Величественное;705619709;ВТ7-5
770;Величественное;1024567193;ВТ79
770;Величественное;840020939;Епт-альб-сеноманский ГЛ
770;Величественное;1976445698;ЯТ5
770;Величественное;11626301;ЕТX
770;Величественное;605181559;ВТ79/7
770;Величественное;1077184587;ЕТU-8
770;Величественное;1859856743;ЯТ7/7-5
770;Величественное;1690431303;ВТ74-7X
770;Величественное;1839917720;Et
813;Болотистое;1009129873;ЯТ7
813;Болотистое;1976445698;ЯТ5
770;Величественное;892621403;ЯТ7/Y
813;Болотистое;1077184587;ЕТU-8
813;Болотистое;11626301;ЕТX
813;Болотистое;605181559;ВТ79/7
813;Болотистое;1024567193;ВТ79
813;Болотистое;771285293;ВТ78-59
