ngduid;ngduname;cdngid;cdngname
12;НГДУ Соснанефть;1;ЦДНГ-5
12;НГДУ Соснанефть;2;ЦДНГ-3
12;НГДУ Соснанефть;4;ЦДНГ-12
12;НГДУ Соснанефть;5;ЦДНГ-11
12;НГДУ Соснанефть;6;ЦДНГ-10
12;НГДУ Соснанефть;7;ЦДНГ-9
12;НГДУ Соснанефть;8;ЦДНГ-8
12;НГДУ Соснанефть;9;ЦДНГ-7
12;НГДУ Соснанефть;10;ЦДНГ-6
12;НГДУ Соснанефть;12;ЦДНГ-4
12;НГДУ Соснанефть;14;ЦДНГ-2
12;НГДУ Соснанефть;15;УДНГ-1
13;НГДУ Финикнефть;104;ЦДНГ-12
13;НГДУ Финикнефть;105;ЦДНГ-11
13;НГДУ Финикнефть;106;ЦДНГ-10
13;НГДУ Финикнефть;107;ЦДНГ-9
13;НГДУ Финикнефть;108;ЦДНГ-8
13;НГДУ Финикнефть;109;ЦДНГ-7
13;НГДУ Финикнефть;110;ЦДНГ-6
13;НГДУ Финикнефть;111;ЦДНГ-5
13;НГДУ Финикнефть;112;ЦДНГ-4
13;НГДУ Финикнефть;1003;ЦДНГ-3
14;НГДУ Лиственницанефть;204;ЦДНГ-12
14;НГДУ Лиственницанефть;205;ЦДНГ-11
14;НГДУ Лиственницанефть;206;ЦДНГ-10
14;НГДУ Лиственницанефть;207;ЦДНГ-9
14;НГДУ Лиственницанефть;208;ЦДНГ-8
14;НГДУ Лиственницанефть;209;ЦДНГ-7
14;НГДУ Лиственницанефть;211;ЦДНГ-5
14;НГДУ Лиственницанефть;212;ЦДНГ-4
14;НГДУ Лиственницанефть;2013;ЦДНГ-3
14;НГДУ Лиственницанефть;2014;ЦДНГ-2
15;НГДУ Кедрнефть;304;ЦДНГ-12
15;НГДУ Кедрнефть;305;ЦДНГ-11
15;НГДУ Кедрнефть;306;ЦДНГ-10
15;НГДУ Кедрнефть;307;ЦДНГ-9
15;НГДУ Кедрнефть;308;ЦДНГ-8
15;НГДУ Кедрнефть;309;ЦДНГ-7
15;НГДУ Кедрнефть;310;ЦДНГ-6
17;НГДУ Нектариннефть;504;ЦДНГ-12
17;НГДУ Нектариннефть;505;ЦДНГ-11
17;НГДУ Нектариннефть;506;ЦДНГ-10
17;НГДУ Нектариннефть;507;ЦДНГ-9
17;НГДУ Нектариннефть;508;ЦДНГ-8
17;НГДУ Нектариннефть;509;ЦДНГ-7
17;НГДУ Нектариннефть;510;ЦДНГ-6
17;НГДУ Нектариннефть;512;УДНГ-5
17;НГДУ Нектариннефть;576;ЦДНГ-3
17;НГДУ Нектариннефть;579;ЦДНГ-4
17;НГДУ Нектариннефть;5088;ЦДНГ-2
17;НГДУ Нектариннефть;5090;ЦДНГ-1
20;НГДУ Берёзанефть;804;ЦДНГ-12
20;НГДУ Берёзанефть;805;ЦДНГ-11
20;НГДУ Берёзанефть;806;ЦДНГ-10
20;НГДУ Берёзанефть;807;ЦДНГ-9
20;НГДУ Берёзанефть;808;ЦДНГ-8
20;НГДУ Берёзанефть;809;ЦДНГ-7
20;НГДУ Берёзанефть;810;ЦДНГ-6
20;НГДУ Берёзанефть;811;ЦДНГ-5
20;НГДУ Берёзанефть;812;ЦДНГ-4
22;НГДУ Туянефть;997;ЦДНГ-9
22;НГДУ Туянефть;1004;ЦДНГ-12
22;НГДУ Туянефть;1006;ЦДНГ-11
22;НГДУ Туянефть;1007;ЦДНГ-10
