objid;objname;plastid;plastname
177918583;ВТ79/9;1834;ВТ79/9
1916485834;ЯТ7/7;1788;ЯТ7/7
2036498630;ЯТ5/7;1778;ЯТ5/7
840020939;Епт-альб-сеноманский ГЛ;1757;РЛ
1976445698;ЯТ5;2176;ЯТ5
11626301;ЕТX;2082;ЕТX/7
1067878520;ЕТ79;2135;ЕТ79
11626301;ЕТX;2083;ЕТX/5
231269484;ВТ5+Y;2182;ВТ5+Y
2112960395;ВТ7;2184;ВТ7
2017364653;ВТ79+77;1870;ВТ79+77
2118714907;ВТ4;2181;ВТ4
1169999627;ЕТU;2100;ЕТU
11626301;ЕТX;2185;ЕТX
2063623641;Я5;1273;Я5
537266922;Я7;1274;Я7
974457479;Я5-Y;1534;Я5-Y
1922804898;Я4;1499;Я4
1191005717;PX;1282;PX
1582911845;ЛГ;1281;ЛГ
2130260247;ЯТ9;2133;ЯТ9
962321853;ЯТ4/7;1982;ЯТ4/7
1069256486;ЯY;1500;ЯY
700271941;ЯY-4;1500;ЯY
700271941;ЯY-4;1499;Я4
2109188539;ЯТY;1772;ЯТY
566834003;Ек7-ВГ6-U;2137;Ек7-ВГ6-U
1326106060;ВТ8;1848;ВТ8
658633091;ВТ8/7;1846;ВТ8/7
1753970598;ЯТL/5;-63;ЯТL/5
69158720;ВТ75/7-Y;227;ВТ75/7-Y
1009129873;ЯТ7;2177;ЯТ7
1077184587;ЕТU-8;2172;ЕТU-8
1024567193;ВТ79;2180;ВТ79
779189791;ЕТX-79;2185;ЕТX
779189791;ЕТX-79;2135;ЕТ79
1602112042;ВТ78-55;2178;ВТ78
1602112042;ВТ78-55;1799;ВТ59
1602112042;ВТ78-55;1805;ВТ7X
218613113;ЯТ4;1645;ЯТ4
843918845;ВТ55;1797;ВТ55
1522429922;ВТ5;2183;ВТ5
1602112042;ВТ78-55;1798;ВТ57
1525498409;ЯТ9/Л+ЯТ7;2177;ЯТ7
1525498409;ЯТ9/Л+ЯТ7;1664;ЯТ9/Л
169084762;ВТ74-59;1;ВТ74-59
1602112042;ВТ78-55;1767;ВТ57/7
1342471893;ЯТ9/(Л7+Л5);1663;ЯТ9/Л7
1342471893;ЯТ9/(Л7+Л5);1660;ЯТ9/Л5
1602112042;ВТ78-55;1797;ВТ55
1925569121;ЯТ9/Л7;1663;ЯТ9/Л7
732397477;ЯТ5-4;2176;ЯТ5
2083687272;ВТ8/9+ВТ8;1906;ВТ8/9
1404760202;ЕТ4-8;2152;ЕТ4-8
705619709;ВТ7-5;2162;ВТ7-5
605181559;ВТ79/7;2155;ВТ79/7
1859856743;ЯТ7/7-5;1783;ЯТ7/7-5
1690431303;ВТ74-7X;2167;ВТ76
1839917720;Et;187;Et
1690431303;ВТ74-7X;2178;ВТ78
1690431303;ВТ74-7X;2154;ВТ7U
