plastid;plastname;skvid;skvname
1834;ВТ79/9;1012678;56448Б
1834;ВТ79/9;1012439;50016К
1834;ВТ79/9;1012438;92480
1834;ВТ79/9;1012352;91294
1788;ЯТ7/7;1012322;60435Б
1778;ЯТ5/7;1012437;57132Б
1778;ЯТ5/7;1012436;6892
1778;ЯТ5/7;1012322;60435Б
1834;ВТ79/9;1012585;82449Б
1834;ВТ79/9;1012567;9052
1834;ВТ79/9;1012566;99798
1834;ВТ79/9;1012368;83577К
1778;ЯТ5/7;1012368;83577К
1834;ВТ79/9;1012601;59956
1834;ВТ79/9;1012600;34995К
1834;ВТ79/9;1012599;5029
1834;ВТ79/9;1012598;67029
1834;ВТ79/9;1012584;90276
1834;ВТ79/9;1012581;12320
1834;ВТ79/9;1012565;6303К
1834;ВТ79/9;1012564;67525
1834;ВТ79/9;1012562;31757
1834;ВТ79/9;1012365;72633К
1788;ЯТ7/7;1012601;59956
1778;ЯТ5/7;1012601;59956
1778;ЯТ5/7;1012600;34995К
1778;ЯТ5/7;1012582;11344
1778;ЯТ5/7;1012580;64892Р
1778;ЯТ5/7;1012563;79197
1778;ЯТ5/7;1012546;24273Б
1834;ВТ79/9;1012470;81586В
1834;ВТ79/9;1012402;61078
1834;ВТ79/9;1012326;97372В
1778;ЯТ5/7;1012404;42957Б
1778;ЯТ5/7;1012403;25821Б
1778;ЯТ5/7;1012311;93304В
1778;ЯТ5/7;1012305;13328
1757;РЛ;1012402;61078
1834;ВТ79/9;1012259;31725Б
1778;ЯТ5/7;1012261;5014В
1778;ЯТ5/7;1012259;31725Б
1778;ЯТ5/7;1012258;85131Б
1778;ЯТ5/7;1012256;63811В
1778;ЯТ5/7;1012255;65436
1778;ЯТ5/7;1012254;21617
1778;ЯТ5/7;1012253;77939
1778;ЯТ5/7;1012252;36266
1778;ЯТ5/7;1012251;96272
1778;ЯТ5/7;1012250;69137
1778;ЯТ5/7;1012249;50912
1778;ЯТ5/7;1012248;85650
1778;ЯТ5/7;1012247;52749Б
1778;ЯТ5/7;1012246;60679В
1778;ЯТ5/7;1012245;61304
1778;ЯТ5/7;1012244;77282
1778;ЯТ5/7;1012243;30353
1778;ЯТ5/7;1012242;90364
1778;ЯТ5/7;1012239;61660В
1778;ЯТ5/7;1012237;40332К
1778;ЯТ5/7;1012236;96970
1778;ЯТ5/7;1011159;94600В
1757;РЛ;1012255;65436
1757;РЛ;1012242;90364
1834;ВТ79/9;1012266;29873Р
1778;ЯТ5/7;1012275;3914
1778;ЯТ5/7;1012274;47355
1778;ЯТ5/7;1012273;76566К
1778;ЯТ5/7;1012272;30667
1778;ЯТ5/7;1012269;28623К
1778;ЯТ5/7;1012268;95230В
1778;ЯТ5/7;1012266;29873Р
1778;ЯТ5/7;1012265;94105В
1778;ЯТ5/7;1012264;96449
1778;ЯТ5/7;1012241;3468К
1757;РЛ;1012266;29873Р
1778;ЯТ5/7;1012271;75357Б
1778;ЯТ5/7;1012270;35269
1778;ЯТ5/7;1012267;87129Б
1778;ЯТ5/7;1012263;67800К
1778;ЯТ5/7;1012262;64273
1778;ЯТ5/7;1012260;12179Р
1778;ЯТ5/7;1012257;70295
1778;ЯТ5/7;1012240;26492
1778;ЯТ5/7;1012238;14471
1757;РЛ;1012271;75357Б
1788;ЯТ7/7;1011144;77239В
1788;ЯТ7/7;992355;57419
1778;ЯТ5/7;992355;57419
1778;ЯТ5/7;955248;75502В
1834;ВТ79/9;1011157;22016Р
1778;ЯТ5/7;1011156;26356
1834;ВТ79/9;955133;64285
1834;ВТ79/9;955115;44532Б
1834;ВТ79/9;955114;30126К
1834;ВТ79/9;955113;47723
1834;ВТ79/9;955110;8438
1834;ВТ79/9;955103;58215К
1834;ВТ79/9;955102;60086Р
1788;ЯТ7/7;955134;75526
1788;ЯТ7/7;955112;35293
1788;ЯТ7/7;955111;28515К
1778;ЯТ5/7;955135;11589
1778;ЯТ5/7;955112;35293
1788;ЯТ7/7;1011143;23973
1788;ЯТ7/7;1009793;9335Р
1778;ЯТ5/7;1009793;9335Р
1834;ВТ79/9;955090;68449
1834;ВТ79/9;955089;87614
1834;ВТ79/9;955087;46068
1834;ВТ79/9;955084;71968
1778;ЯТ5/7;955090;68449
1778;ЯТ5/7;955089;87614
1778;ЯТ5/7;955086;20556Б
1757;РЛ;955085;99318К
1788;ЯТ7/7;955207;40896Б
1778;ЯТ5/7;955207;40896Б
1834;ВТ79/9;1002276;22680Б
1834;ВТ79/9;1001874;14266В
1834;ВТ79/9;1001676;31463
1834;ВТ79/9;1001236;99383
1778;ЯТ5/7;1002598;3796
1778;ЯТ5/7;1002558;70322
1778;ЯТ5/7;1002436;32385К
1778;ЯТ5/7;1002316;94596
1778;ЯТ5/7;1002156;47422В
1778;ЯТ5/7;1002076;20429
1778;ЯТ5/7;1001956;58725Б
1778;ЯТ5/7;1001874;14266В
1778;ЯТ5/7;1001676;31463
1757;РЛ;1001436;48657К
1757;РЛ;1001434;79069
1778;ЯТ5/7;997435;23103Б
1778;ЯТ5/7;997433;7561В
1778;ЯТ5/7;997115;70299Б
1778;ЯТ5/7;996995;47012
1778;ЯТ5/7;996755;498К
1778;ЯТ5/7;996675;62715К
1778;ЯТ5/7;996433;77988К
1778;ЯТ5/7;995995;57443
1778;ЯТ5/7;995955;48981К
